Element,Wavelength,Intensity,Strength,On,Reference
Fe I,3037.3887,80,,True,NJLT94
Fe I,3047.6045,80,,True,NJLT94
Fe I,3057.4458,60,,True,NJLT94
Fe I,3059.0857,100,,True,NJLT94
Fe I,3193.2258,50,,True,NJLT94
Fe I,3193.2998,80,,True,NJLT94
Fe I,3222.0591,30,,True,NJLT94
Fe I,3225.7871,60,,True,NJLT94
Fe I,3236.2224,30,,True,NJLT94
Fe I,3355.2278,40,,True,NJLT94
Fe I,3407.4597,50,,True,NJLT94
Fe I,3427.1194,50,,True,NJLT94
Fe I,3440.606,400,P,True,NJLT94
Fe I,3440.9888,250,,True,NJLT94
Fe I,3443.8765,100,,True,NJLT94
Fe I,3465.8606,120,,True,NJLT94
Fe I,3475.4502,200,,True,NJLT94
Fe I,3476.7019,50,,True,NJLT94
Fe I,3490.574,250,,True,NJLT94
Fe I,3497.8406,50,,True,NJLT94
Fe I,3521.2612,30,,True,NJLT94
Fe I,3526.0408,40,,True,NJLT94
Fe I,3541.0833,30,,True,NJLT94
Fe I,3554.9246,40,,True,NJLT94
Fe I,3558.5151,40,,True,NJLT94
Fe I,3565.3789,100,,True,NJLT94
Fe I,3570.0977,120,,True,NJLT94
Fe I,3570.2542,80,,True,NJLT94
Fe I,3581.1931,600,P,True,NJLT94
Fe I,3585.3188,30,,True,NJLT94
Fe I,3586.9849,40,,True,NJLT94
Fe I,3606.6794,50,,True,NJLT94
Fe I,3608.8594,150,,True,NJLT94
Fe I,3618.7678,150,,True,NJLT94
Fe I,3631.4631,120,,True,NJLT94
Fe I,3647.8428,150,,True,NJLT94
Fe I,3679.9133,150,,True,NJLT94
Fe I,3687.4568,50,,True,NJLT94
Fe I,3705.5659,120,,True,NJLT94
Fe I,3707.9199,30,,True,NJLT94
Fe I,3709.2463,60,,True,NJLT94
Fe I,3719.9348,600,P,True,NJLT94
Fe I,3722.563,150,,True,NJLT94
Fe I,3727.6189,50,,True,NJLT94
Fe I,3733.3176,120,,True,NJLT94
Fe I,3734.8638,700,P,True,NJLT94
Fe I,3737.1316,600,P,True,NJLT94
Fe I,3743.3621,40,,True,NJLT94
Fe I,3745.5613,600,P,True,NJLT94
Fe I,3745.8994,120,,True,NJLT94
Fe I,3748.2622,300,P,True,NJLT94
Fe I,3749.4854,400,P,True,NJLT94
Fe I,3758.2329,300,P,True,NJLT94
Fe I,3760.0498,40,,True,NJLT94
Fe I,3763.7891,150,,True,NJLT94
Fe I,3765.5388,40,,True,NJLT94
Fe I,3767.1919,60,,True,NJLT94
Fe I,3795.0022,40,,True,NJLT94
Fe I,3799.5476,40,,True,NJLT94
Fe I,3812.9646,60,,True,NJLT94
Fe I,3815.8403,150,,True,NJLT94
Fe I,3820.4253,500,P,True,NJLT94
Fe I,3824.4436,250,,True,NJLT94
Fe I,3825.8811,150,,True,NJLT94
Fe I,3827.8225,120,,True,NJLT94
Fe I,3834.2224,100,,True,NJLT94
Fe I,3840.4375,50,,True,NJLT94
Fe I,3841.0481,80,,True,NJLT94
Fe I,3856.3716,250,,True,NJLT94
Fe I,3859.9114,500,P,True,NJLT94
Fe I,3878.5732,150,,True,NJLT94
Fe I,3886.2822,300,P,True,NJLT94
Fe I,3888.5134,30,,True,NJLT94
Fe I,3895.6565,80,,True,NJLT94
Fe I,3899.7075,120,,True,NJLT94
Fe I,3902.9458,40,,True,NJLT94
Fe I,3920.2581,60,,True,NJLT94
Fe I,3922.9119,120,,True,NJLT94
Fe I,3927.9199,120,,True,NJLT94
Fe I,3930.2966,200,,True,NJLT94
Fe I,4005.2419,40,,True,NJLT94
